outage_id,run_id,outage_s,env,speed_cat,timing_cat,start_s,v0,mean_ax,max_ax,mean_gz,max_gz,err_v1,err_v2,diff,status
pair_Vtb2__10s__0,pair_Vtb2,10,Urban / Suburban,Med (5-15 m/s),Late (>=120s),308.8,7.51,2.870295,11.3391,0.22394099999999997,0.8032,93.7202298773276,128.7135490898308,34.993319212503195,regressed
pair_Vtb2__30s__0,pair_Vtb2,30,Urban / Suburban,High (>15 m/s),Early (<120s),72.2,16.29,1.8186236666666666,8.1115,0.11972399999999998,0.7147,310.81027232686193,198.8208614158477,-111.98941091101423,improved
pair_Vtb2__60s__0,pair_Vtb2,60,Urban / Suburban,Med (5-15 m/s),Early (<120s),89.7,9.35,2.2839853333333333,9.9272,0.18305033333333331,0.9581,855.5058808965643,751.6171478474005,-103.88873304916387,improved
pair_Vtb2__120s__0,pair_Vtb2,120,Urban / Suburban,Low (<5 m/s),Late (>=120s),346.1,0.1,1.097449,8.1742,0.08243,1.1258,814.8976159348933,895.3356237059992,80.43800777110584,regressed
pair_Vtb2__180s__0,pair_Vtb2,180,Urban / Suburban,Med (5-15 m/s),Late (>=120s),266.4,9.6,1.6137944444444443,14.1611,0.12155927777777778,1.1258,780.0062946539521,797.0792429688686,17.072948314916516,regressed
pair_Vtb3__10s__0,pair_Vtb3,10,Urban / Suburban,Low (<5 m/s),Late (>=120s),432.9,-0.18,0.282612,1.2348,0.023904,0.094,13.972851016131653,14.041407785482146,0.0685567693504936,unchanged
pair_Vtb3__30s__0,pair_Vtb3,30,Urban / Suburban,Low (<5 m/s),Late (>=120s),689.6,0.11,0.35214566666666663,3.8421,0.021791,0.2665,13.18502757937266,13.922320822966864,0.7372932435942037,regressed
pair_Vtb3__60s__0,pair_Vtb3,60,Urban / Suburban,Low (<5 m/s),Late (>=120s),540.6,1.48,0.306159,1.5439,0.025373999999999997,0.1423,42.934286417430535,42.192375971703015,-0.7419104457275196,improved
pair_Vtb3__120s__0,pair_Vtb3,120,Urban / Suburban,Low (<5 m/s),Late (>=120s),605.3,0.55,0.3450615833333333,3.8421,0.02334391666666667,0.2665,44.47595340740229,45.312107720264486,0.8361543128621989,regressed
pair_Vtb3__180s__0,pair_Vtb3,180,Urban / Suburban,Low (<5 m/s),Late (>=120s),349.0,-0.13,0.2917882222222222,4.5476,0.021040833333333335,0.4255,106.16888469518712,105.34173599718557,-0.827148698001551,improved
pair_Vtb4__10s__0,pair_Vtb4,10,Urban / Suburban,Med (5-15 m/s),Early (<120s),13.6,5.23,2.814592,10.9368,0.187199,0.7758,47.11847544169014,25.258505581104394,-21.859969860585743,improved
pair_Vtb4__30s__0,pair_Vtb4,30,Urban / Suburban,Med (5-15 m/s),Early (<120s),13.1,5.23,3.1894253299999997,17.017099,0.23060466666666665,1.3797,151.21839958805774,148.4524976610261,-2.765901927031649,improved
pair_Vtb5__10s__0,pair_Vtb5,10,Urban / Suburban,Med (5-15 m/s),Late (>=120s),5968.6,12.68,1.0558999999999998,4.3794,0.098267,0.3691,163.32280655746783,150.39630813099944,-12.926498426468385,improved
pair_Vtb5__30s__0,pair_Vtb5,30,Urban / Suburban,Med (5-15 m/s),Late (>=120s),1220.3,6.34,1.0155693333333333,5.2104,0.07496333333333333,0.4643,307.85969704367886,251.11913348285864,-56.74056356082022,improved
